car_name,SKU,page_name,max_qty,current_qty,image_url,price
RLC 1992 GMC Typhoon,JCP13,rlc-gmc-typhoon-jcp13,2406,2354,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/bomjlmtwp2hkylaprvfs_600x600.jpg,28
Hot Wheels Elite 64 BMW M3 Touring,HWR93,hot-wheels-elite64-bmw-m3-touring-hwr93,27647,27610,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/fkxa4jbjomzzacmw8l6e_600x600.jpg,22
RLC Exclusive 1964 Jaguar E-Type,JCP68,rlc-exclusive-jaguar-jcp68,16786,16738,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/gqflsdhkkunukvxgtfly_600x600.jpg,33
Hot Wheels Mario Kart Pauline Vehicle,JJP81,hot-wheels-mario-kart-pauline-vehicle-jjp81,2827,2819,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/vdixp8ypheznollyb54x_600x600.jpg,22
RLC Exclusive 1959 Chevrolet Brookwood,JCP19,hot-wheels-rlc-1959-chevrolet-brookwood-jcp19,3935,3907,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/ablcljbazanolj6gqap7_600x600.jpg,33
Elite 64 Toyota Corolla Levin (AE86) Custom,JCV06,hot-wheels-elite64-toyota-corolla-levin-ae86-custom-jcv06,11381,11345,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/n07n08vowhf2px6ycjnf_600x600.jpg,20
RLC Exclusive ‘70s Dodge Tradesman Van,JCP23,hot-wheels-rlc-exclusive-70s-dodge-tradesman-van-jcp23,1023,998,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/dnr3axqofza67f8yufhq_600x600.jpg,37
Hot Wheels Elite 64 Aston Martin Valkyrie,HWR91,hot-wheels-elite-64-aston-martin-valkyrie-hwr91,16123,16106,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/rdmzqottsp2vvumuocop_600x600.jpg,20
RLC Exclusive '71 Lamborghini Miura P400 SV,HWF11,hot-wheels-rlc-71-lamborghini-hwf11,701,683,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/qbvqkgcn7dm2kuhx3hcn_600x600.jpg,37
Hot Wheels Elite 64 McLaren M6GT,HWG05,hot-wheels-elite-64-mclaren-m6gt-hwg05,21379,21367,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/ng2jq8wf4eczmzduowpo_600x600.jpg,20
Hot Wheels Elite 64 1989 Toyota HiLux Stadium Truck,HWR90,hot-wheels-e64-79-toyota-hilux-hwr90,31569,31557,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/ic1rnoqcvh3sajmtpcwu_600x600.jpg,20
RLC Exclusive 1964 Dodge Power Wagon,HWF09,hot-wheels-rlc-1964-dodge-w200-power-wagon-hwf09,5053,5035,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/eypwauuexaamk7q5dauo_600x600.jpg,30
Hot Wheels Elite 64 Mod Shop '94 Land Rover Discovery,HNJ65,hot-wheels-elite64-94-land-rover-discovery-hnj65,25369,25352,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/lnfyydgutsemssnkb5of_71652c46-6e9d-42c4-ac09-bedd462d8edd_600x600.jpg,30
